"Story","Title","Result","Date","Stability","Duration (s)"
"Search a hotel","Search hotel with valid search","SUCCESS","2021-10-06T08:35:02.993+11:00[Australia/Sydney]","0.0","28.51"
"Search a hotel","Search hotel only with Location","SUCCESS","2021-10-06T08:35:31.51+11:00[Australia/Sydney]","0.0","6.41"
