"Story","Title","Result","Date","Stability","Duration (s)"
"Search a hotel","Search hotel without selecting Location","SUCCESS","2021-10-06T08:35:38.541+11:00[Australia/Sydney]","0.0","9.7"
"Search a hotel","Search hotel without selecting any field","FAILURE","2021-10-06T08:35:48.236+11:00[Australia/Sydney]","0.0","6.77"
